car_name,manufacturing_year,milage,ownership,engine cc,fuel_type,"car_price (JPY 10,000)",auction_house
Suzuki Jimny,30-May-15,70703 kms,1st owner,660,Hybrid,56.8,LAA Kansai
Mitsubishi Pajero,09-Nov-11,15850 kms,3rd owner,2000,Gasoline,16.8,IMA East
Suzuki Alto,09-Sep-95,23926 kms,1st owner,1500,Diesel,16.8,USS Tokyo
Subaru Impreza,23-Feb-05,149154 kms,4th owner,2500,Hybrid,66.8,HAA Kobe
Mazda RX-7,26-Apr-04,40847 kms,1st owner,1500,Hybrid,46.8,KIX Kansai
Subaru Legacy,18-Apr-12,271006 kms,4th owner,4500,Hybrid,46.8,IMA East
Toyota Crown,01-Nov-91,266503 kms,1st owner,1500,Hybrid,56.8,HERO Saitama
Mazda RX-7,28-Aug-14,100028 kms,4th owner,3500,Hybrid,56.8,HAA Kobe
Mazda Axela,20-May-10,161310 kms,3rd owner,2000,Electric,6.8,JU Kanagawa
Honda Fit,06-Mar-98,6809 kms,2nd owner,4000,Gasoline,16.8,LAA Kansai
Suzuki Swift,01-May-94,90307 kms,3rd owner,2000,Gasoline,16.8,CAA Chubu
Nissan Altima,27-Oct-15,222053 kms,3rd owner,3000,Hybrid,76.8,NTAA Tokyo
Mazda Axela,13-Nov-09,101571 kms,3rd owner,3000,Electric,36.8,SAA Sapporo
Lexus ES,22-Aug-08,168334 kms,1st owner,4000,Diesel,6.8,HAA Kobe
Suzuki Swift,19-Sep-96,155112 kms,3rd owner,3000,Electric,36.8,IMA East
Mitsubishi Mirage,04-Aug-14,220790 kms,3rd owner,1500,Electric,6.8,LAA Kansai
Subaru Legacy,02-Jul-13,98473 kms,4th owner,2000,Diesel,16.8,KCAA Kyushu
Suzuki Vitara,22-Feb-96,122070 kms,1st owner,3000,Electric,26.8,RAA Ryutsu
Lexus IS,11-Aug-22,40661 kms,4th owner,3000,Electric,36.8,SAA Sapporo
Toyota Hiace,06-Jun-06,142673 kms,3rd owner,1500,Gasoline,16.8,USS Tokyo
Lexus ES,22-Feb-06,16374 kms,4th owner,4000,Electric,6.8,HAA Kobe
Honda Accord,17-Oct-16,114083 kms,3rd owner,3000,Electric,26.8,CAA Chubu
Subaru Outback,15-Jan-17,164040 kms,3rd owner,4000,CNG,6.8,KCAA Kyushu
Mazda Demio,26-Jul-92,298884 kms,1st owner,1500,Electric,16.8,RAA Ryutsu
Suzuki Vitara,12-Aug-91,98999 kms,4th owner,4000,Diesel,6.8,SAA Sapporo
Toyota Prius,29-Oct-98,195689 kms,2nd owner,3000,Diesel,36.8,NTAA Tokyo
Mitsubishi Mirage,16-Jun-92,102953 kms,4th owner,4000,Diesel,16.8,GAO! Nagoya
Honda Accord,23-Jan-03,194981 kms,3rd owner,4000,Gasoline,6.8,TAA Nagoya
Lexus GX,14-Sep-07,137985 kms,2nd owner,3500,Hybrid,46.8,LAA Kansai
Daihatsu Hijet,23-Apr-06,137280 kms,2nd owner,2500,Gasoline,26.8,HERO Saitama
Suzuki Vitara,29-Jul-17,193206 kms,3rd owner,2000,CNG,16.8,GAO! Nagoya
Daihatsu Move,20-Sep-05,287876 kms,1st owner,4500,Electric,16.8,KIX Kansai
Mitsubishi Mirage,26-Dec-92,148947 kms,1st owner,2000,Electric,6.8,HERO Saitama
Mitsubishi Pajero,14-Sep-09,250895 kms,3rd owner,3500,Diesel,6.8,RAA Ryutsu
Suzuki Jimny,04-Jul-14,197878 kms,1st owner,2500,Gasoline,26.8,Honda Auto Auction Fukuoka
Subaru Outback,07-Mar-03,134133 kms,2nd owner,4000,CNG,6.8,JU Kanagawa
Suzuki Swift,25-Dec-11,171713 kms,2nd owner,2500,Hybrid,76.8,KCAA Kyushu
Honda Accord,03-Aug-10,74224 kms,4th owner,1500,Hybrid,46.8,ONAA Osaka
Nissan Altima,03-Apr-90,154523 kms,4th owner,1500,Electric,6.8,HAA Kobe
Subaru Legacy,06-Mar-07,241039 kms,3rd owner,3500,Diesel,16.8,LAA Kansai
Lexus GX,22-Oct-18,275703 kms,4th owner,2000,CNG,16.8,GAO! Nagoya
Daihatsu Tanto,14-Jun-15,272322 kms,3rd owner,4000,Hybrid,56.8,GNN Osaka
Subaru Legacy,11-Mar-22,220383 kms,2nd owner,4000,Hybrid,56.8,NTAA Tokyo
Nissan Note,13-Mar-20,127340 kms,1st owner,2000,Hybrid,56.8,ONAA Osaka
Suzuki Vitara,05-Dec-03,192893 kms,1st owner,4000,Gasoline,16.8,CAA Chubu
Daihatsu Tanto,24-Oct-94,260364 kms,1st owner,2500,Diesel,26.8,JU Kanagawa
Suzuki Swift,02-Oct-00,87791 kms,4th owner,2000,Electric,6.8,USS Tokyo
Subaru Legacy,28-Feb-04,38160 kms,1st owner,2000,Electric,6.8,SAA Sapporo
Toyota Vitz,19-Jan-21,186080 kms,1st owner,2000,Gasoline,16.8,LAA Kansai
Suzuki Vitara,19-Jan-97,262978 kms,1st owner,3500,CNG,16.8,ONAA Osaka
Honda Fit,29-Jul-14,156337 kms,1st owner,1500,CNG,6.8,HERO Saitama
Lexus IS,20-Jan-03,121393 kms,3rd owner,660,Diesel,16.8,HAA Kobe
Toyota Corolla,14-Jan-15,54363 kms,2nd owner,3500,Electric,6.8,IMA East
Honda Fit,24-Aug-15,127909 kms,2nd owner,3500,CNG,16.8,TAA Nagoya
Subaru Outback,27-Nov-00,279304 kms,1st owner,4000,Electric,6.8,Honda Auto Auction Fukuoka
Mitsubishi Lancer,26-Nov-08,107284 kms,1st owner,2000,Diesel,6.8,HAA Kobe
Nissan Note,28-Apr-09,247375 kms,1st owner,4000,Diesel,6.8,KIX Kansai
Lexus RX,26-Feb-03,260822 kms,3rd owner,3500,Electric,16.8,USS Tokyo
Daihatsu Hijet,19-Jul-93,102806 kms,3rd owner,2500,CNG,26.8,CAA Chubu
Nissan Altima,14-May-08,93562 kms,3rd owner,2000,Diesel,6.8,RAA Ryutsu
Subaru Impreza,12-Aug-00,89988 kms,2nd owner,1500,Hybrid,56.8,USS Tokyo
Honda Odyssey,19-Mar-93,247561 kms,2nd owner,2500,CNG,26.8,GNN Osaka
Lexus GX,22-Sep-91,53838 kms,2nd owner,3500,Hybrid,56.8,GNN Osaka
Mazda Demio,30-Aug-09,138437 kms,2nd owner,2500,Hybrid,66.8,LAA Kansai
Toyota Corolla,14-Aug-94,95310 kms,2nd owner,3000,Gasoline,36.8,LAA Kansai
Nissan X-Trail,19-May-22,74548 kms,1st owner,4000,Gasoline,6.8,RAA Ryutsu
Suzuki Swift,21-Aug-17,224276 kms,4th owner,4000,Electric,6.8,USS Tokyo
Subaru Outback,03-Oct-13,151164 kms,4th owner,3500,Hybrid,46.8,NTAA Tokyo
Mitsubishi Mirage,18-Dec-05,247125 kms,4th owner,1500,Diesel,6.8,NAA Osaka
Mazda CX-5,16-Dec-99,239906 kms,1st owner,2000,CNG,6.8,TAA Nagoya
Mazda RX-7,30-May-05,195368 kms,2nd owner,3000,CNG,36.8,IMA East
Daihatsu Hijet,01-May-22,159290 kms,2nd owner,1500,Gasoline,6.8,CAA Chubu
Nissan Note,26-Sep-02,273592 kms,1st owner,2500,CNG,26.8,JU Kanagawa
Subaru Outback,08-Mar-14,136693 kms,3rd owner,1500,CNG,16.8,ONAA Osaka
Suzuki Vitara,25-Mar-01,195574 kms,1st owner,4000,Gasoline,16.8,IMA East
Suzuki Swift,13-May-00,212156 kms,4th owner,4000,CNG,16.8,LAA Kansai
Suzuki Swift,28-Dec-09,34455 kms,1st owner,3000,Diesel,26.8,Honda Auto Auction Fukuoka
Mazda Axela,08-Oct-01,243850 kms,3rd owner,2000,Diesel,6.8,ONAA Osaka
Honda Accord,26-May-17,127610 kms,3rd owner,2000,CNG,16.8,IMA East
Daihatsu Tanto,30-Jul-07,129426 kms,4th owner,4000,Diesel,16.8,USS Tokyo
Toyota Vitz,19-Nov-07,106380 kms,3rd owner,3000,Electric,36.8,NAA Osaka
Toyota Corolla,23-Nov-96,66741 kms,1st owner,2000,Diesel,6.8,LAA Kansai
Daihatsu Mira,12-Dec-13,205776 kms,1st owner,4500,Hybrid,46.8,CAA Chubu
Lexus GX,27-Oct-93,259164 kms,1st owner,1500,Diesel,6.8,KIX Kansai
Suzuki Alto,30-Nov-14,140183 kms,3rd owner,3000,Hybrid,76.8,RAA Ryutsu
Nissan Patrol,12-Aug-90,279430 kms,4th owner,2500,Electric,36.8,KCAA Kyushu
Daihatsu Tanto,10-Jan-19,153764 kms,3rd owner,3000,CNG,26.8,TAA Nagoya
Subaru BRZ,22-Sep-13,248573 kms,4th owner,3000,CNG,26.8,SMAP Tokyo
Lexus RX,14-Mar-92,92395 kms,1st owner,2500,Gasoline,26.8,SMAP Tokyo
Suzuki Swift,21-Mar-93,19906 kms,1st owner,3000,Gasoline,26.8,GNN Osaka
Mitsubishi Mirage,23-Jul-01,11138 kms,3rd owner,1500,Electric,6.8,JU Kanagawa
Lexus RX,17-Dec-14,247589 kms,1st owner,3500,Diesel,16.8,GAO! Nagoya
Subaru Outback,21-May-95,132628 kms,1st owner,2500,CNG,26.8,USS Tokyo
Mitsubishi Mirage,24-Aug-17,71089 kms,1st owner,4500,Hybrid,46.8,Honda Auto Auction Fukuoka
Subaru Outback,04-Sep-18,117084 kms,4th owner,2500,Gasoline,36.8,LAA Kansai
Suzuki Alto,02-Aug-22,46873 kms,1st owner,2000,CNG,16.8,HERO Saitama
Lexus IS,27-Jan-16,228683 kms,3rd owner,1500,Diesel,16.8,KCAA Kyushu
Lexus ES,16-Dec-04,213178 kms,1st owner,1500,CNG,16.8,NAA Osaka
Nissan GTR,02-Nov-98,217771 kms,1st owner,2000,Hybrid,46.8,ONAA Osaka
Mazda RX-7,21-Oct-20,228888 kms,2nd owner,2000,Electric,16.8,HERO Saitama
Lexus RX,15-Aug-03,174485 kms,1st owner,1500,Gasoline,16.8,IMA East
Subaru Impreza,03-Jul-07,157001 kms,3rd owner,2500,CNG,36.8,GNN Osaka
Honda Odyssey,24-Jul-14,194246 kms,2nd owner,3500,Gasoline,6.8,TAA Nagoya
Mazda Demio,04-Dec-08,196367 kms,1st owner,4000,Hybrid,46.8,SMAP Tokyo
Subaru Impreza,21-Nov-08,186284 kms,1st owner,4000,Hybrid,56.8,GAO! Nagoya
Lexus RX,06-Jul-21,93885 kms,1st owner,2500,Hybrid,76.8,CAA Chubu
Honda Civic,01-May-99,26566 kms,4th owner,4500,Hybrid,56.8,USS Tokyo
Subaru Impreza,19-Dec-92,30653 kms,4th owner,2000,Diesel,16.8,USS Tokyo
Toyota Vitz,15-Jul-15,247009 kms,4th owner,3000,Gasoline,26.8,TAA Nagoya
Mitsubishi Pajero,01-Apr-12,181755 kms,4th owner,3500,Hybrid,56.8,RAA Ryutsu
Mazda RX-7,28-Dec-02,147973 kms,4th owner,3000,Diesel,36.8,CAA Chubu
Lexus IS,16-Jul-96,288751 kms,2nd owner,4000,Electric,6.8,SAA Sapporo
Nissan X-Trail,08-Nov-05,256840 kms,3rd owner,2500,CNG,36.8,KIX Kansai
Honda Fit,13-Feb-18,266891 kms,2nd owner,660,Diesel,16.8,HAA Kobe
Daihatsu Hijet,15-Jun-02,170642 kms,3rd owner,3500,Hybrid,46.8,KIX Kansai
Daihatsu Move,24-Jun-20,220994 kms,3rd owner,1500,CNG,6.8,KCAA Kyushu
Mazda Demio,12-Oct-17,86854 kms,1st owner,1500,Electric,6.8,LAA Kansai
Mitsubishi Mirage,29-Aug-14,67005 kms,1st owner,3500,Electric,6.8,NAA Osaka
Daihatsu Mira,19-Oct-12,254643 kms,4th owner,4000,Gasoline,16.8,ONAA Osaka
Honda Fit,13-Aug-01,221235 kms,4th owner,660,CNG,6.8,KCAA Kyushu
Mitsubishi Lancer,06-Aug-20,208238 kms,4th owner,3000,Hybrid,76.8,IMA East
Mitsubishi Pajero,31-Oct-18,243311 kms,1st owner,2500,Electric,26.8,ONAA Osaka
Subaru BRZ,10-Sep-04,136546 kms,1st owner,2000,Electric,16.8,NTAA Tokyo
Daihatsu Hijet,21-Oct-97,217372 kms,2nd owner,4000,Electric,16.8,LAA Kansai
Daihatsu Mira,07-Sep-12,193827 kms,3rd owner,3500,Gasoline,16.8,IMA East
Toyota Land Cruiser,07-Aug-12,216058 kms,3rd owner,4000,Diesel,16.8,GNN Osaka
Mazda RX-7,28-Jul-98,181464 kms,4th owner,1500,Electric,6.8,IMA East
Nissan Note,14-Sep-17,225507 kms,1st owner,3500,Diesel,6.8,HERO Saitama
Mazda RX-7,20-Apr-91,153535 kms,4th owner,4000,Electric,6.8,SMAP Tokyo
Mazda Demio,12-Oct-19,173485 kms,4th owner,2000,Electric,6.8,HAA Kobe
Daihatsu Hijet,26-Mar-06,235997 kms,3rd owner,3000,Diesel,36.8,RAA Ryutsu
Toyota Vitz,07-Mar-97,218607 kms,2nd owner,3000,Electric,26.8,TAA Nagoya
Suzuki Jimny,13-Dec-91,107834 kms,3rd owner,1500,Gasoline,6.8,GNN Osaka
Toyota Prius,22-Nov-04,61557 kms,2nd owner,3500,CNG,16.8,Honda Auto Auction Fukuoka
Toyota Land Cruiser,09-May-17,80165 kms,2nd owner,3000,Hybrid,76.8,RAA Ryutsu
Daihatsu Tanto,24-Jul-11,165680 kms,2nd owner,2000,Diesel,6.8,GNN Osaka
Subaru Impreza,22-Sep-95,220640 kms,2nd owner,3000,Hybrid,76.8,IMA East
Mazda CX-5,31-Dec-99,41864 kms,1st owner,4000,Gasoline,6.8,IMA East
Mazda RX-7,29-Oct-17,98208 kms,4th owner,2500,Gasoline,26.8,TAA Nagoya
Honda Civic,14-Jan-01,182068 kms,4th owner,3000,Diesel,36.8,CAA Chubu
Nissan Altima,29-Jun-15,264773 kms,1st owner,2000,CNG,16.8,CAA Chubu
Suzuki Swift,26-Jan-11,224102 kms,3rd owner,1500,CNG,16.8,KIX Kansai
Mazda RX-7,15-Oct-10,203465 kms,3rd owner,4000,Hybrid,56.8,JU Kanagawa
Mazda RX-7,03-Apr-17,206197 kms,1st owner,3000,Diesel,26.8,HAA Kobe
Daihatsu Mira,20-Jul-05,67320 kms,1st owner,1500,Gasoline,6.8,NTAA Tokyo
Mitsubishi Lancer,19-Aug-14,36528 kms,2nd owner,3500,Diesel,16.8,HAA Kobe
Nissan X-Trail,29-Jan-94,269395 kms,4th owner,3000,Electric,26.8,NAA Osaka
Subaru Legacy,10-Jan-90,151115 kms,4th owner,3000,CNG,36.8,TAA Nagoya
Suzuki Swift,02-Nov-05,193765 kms,4th owner,2000,Diesel,16.8,Honda Auto Auction Fukuoka
Nissan GTR,10-Sep-99,17103 kms,4th owner,1500,Hybrid,46.8,SAA Sapporo
Toyota Hiace,09-Mar-92,145946 kms,2nd owner,2000,Diesel,16.8,LAA Kansai
Lexus GX,28-Nov-17,258813 kms,1st owner,3000,Hybrid,66.8,SAA Sapporo
Mitsubishi Mirage,22-Jul-99,275377 kms,4th owner,3500,CNG,6.8,TAA Nagoya
Daihatsu Tanto,26-Feb-09,149490 kms,1st owner,3500,Diesel,6.8,TAA Nagoya
Suzuki Alto,26-Sep-91,243989 kms,1st owner,2500,Diesel,36.8,TAA Nagoya
Daihatsu Hijet,09-Nov-02,12162 kms,2nd owner,3500,Gasoline,16.8,LAA Kansai
Honda Fit,19-May-03,168546 kms,4th owner,2500,Gasoline,36.8,NAA Osaka
Toyota Crown,24-Nov-17,208517 kms,1st owner,1500,Gasoline,16.8,ONAA Osaka
Daihatsu Tanto,24-Jun-16,182447 kms,1st owner,3500,CNG,6.8,JU Kanagawa
Mitsubishi Mirage,17-Oct-92,186178 kms,3rd owner,3500,CNG,6.8,NAA Osaka
Mitsubishi Pajero,09-Mar-90,210457 kms,3rd owner,2000,Gasoline,16.8,Honda Auto Auction Fukuoka
Mitsubishi Lancer,30-Nov-02,101509 kms,1st owner,3500,Diesel,6.8,JU Kanagawa
Lexus GX,11-Jun-18,278359 kms,2nd owner,4000,Gasoline,6.8,SMAP Tokyo
Mazda Axela,22-Mar-98,35438 kms,4th owner,4000,Hybrid,46.8,LAA Kansai
Lexus GX,14-Jul-07,16949 kms,2nd owner,1500,Gasoline,16.8,NTAA Tokyo
Daihatsu Tanto,01-Nov-07,287621 kms,3rd owner,3500,Gasoline,16.8,CAA Chubu
Mazda Axela,12-Jul-03,281229 kms,2nd owner,2000,Electric,16.8,ONAA Osaka
Mitsubishi Mirage,23-Jul-17,257800 kms,4th owner,4000,Hybrid,56.8,RAA Ryutsu
Suzuki Jimny,03-Jul-97,102917 kms,4th owner,2000,Electric,6.8,ONAA Osaka
Suzuki Swift,09-Feb-97,178247 kms,1st owner,3000,Diesel,26.8,USS Tokyo
Subaru Legacy,31-Jul-01,9023 kms,1st owner,2000,CNG,16.8,KCAA Kyushu
Subaru Legacy,15-Sep-07,20231 kms,2nd owner,1500,Gasoline,6.8,NAA Osaka
Suzuki Vitara,07-Dec-95,281013 kms,3rd owner,3500,Electric,6.8,CAA Chubu
Subaru Legacy,09-Sep-93,92300 kms,3rd owner,3500,CNG,16.8,ONAA Osaka
Toyota Hiace,08-May-15,53581 kms,2nd owner,2000,Gasoline,6.8,GAO! Nagoya
Mazda RX-7,20-Jun-91,293739 kms,3rd owner,660,Diesel,6.8,GNN Osaka
Daihatsu Move,05-Jun-21,170663 kms,4th owner,4000,Hybrid,46.8,Honda Auto Auction Fukuoka
Mitsubishi Pajero,17-May-92,83246 kms,3rd owner,4500,CNG,6.8,HAA Kobe
Daihatsu Tanto,12-Jul-14,68491 kms,2nd owner,4000,Gasoline,16.8,RAA Ryutsu
Nissan Skyline,16-Sep-08,69879 kms,2nd owner,4000,Diesel,16.8,HERO Saitama
Toyota Camry,14-Jul-22,247646 kms,3rd owner,1500,Gasoline,6.8,GNN Osaka
Toyota Crown,08-Sep-15,166537 kms,4th owner,1500,Gasoline,6.8,RAA Ryutsu
Daihatsu Move,23-Jan-13,293742 kms,1st owner,2500,CNG,26.8,HAA Kobe
Honda Civic,14-Apr-94,206046 kms,4th owner,3500,Diesel,16.8,RAA Ryutsu
Nissan Altima,14-Nov-10,290260 kms,1st owner,2000,Hybrid,46.8,RAA Ryutsu
Toyota Camry,10-Nov-99,23436 kms,4th owner,2000,CNG,16.8,HAA Kobe
Lexus RX,05-Mar-94,108222 kms,1st owner,4000,Gasoline,6.8,IMA East
Mitsubishi Mirage,20-Jul-10,233946 kms,3rd owner,3000,Hybrid,76.8,USS Tokyo
Lexus IS,06-Oct-05,109406 kms,3rd owner,2500,CNG,36.8,Honda Auto Auction Fukuoka
Daihatsu Tanto,25-Mar-21,275578 kms,2nd owner,2000,Gasoline,16.8,USS Tokyo
Nissan Altima,12-Mar-10,29467 kms,4th owner,1500,CNG,16.8,GAO! Nagoya
Toyota Camry,20-Jan-14,125774 kms,1st owner,2000,CNG,16.8,USS Tokyo
Daihatsu Tanto,31-Mar-20,108834 kms,4th owner,3000,Diesel,26.8,USS Tokyo
Mitsubishi Lancer,19-Sep-15,66318 kms,3rd owner,2500,Electric,26.8,NAA Osaka
Toyota Crown,23-Apr-06,240154 kms,4th owner,2500,Hybrid,76.8,HERO Saitama
Toyota Camry,21-Nov-21,295737 kms,3rd owner,3000,Hybrid,76.8,USS Tokyo
Mitsubishi Mirage,07-Dec-01,267439 kms,1st owner,2000,Hybrid,46.8,ONAA Osaka
Daihatsu Hijet,09-Aug-93,25854 kms,1st owner,2000,Diesel,16.8,IMA East
Honda Civic,09-Jul-09,189016 kms,1st owner,2000,Diesel,6.8,Honda Auto Auction Fukuoka
Nissan Note,12-May-96,49563 kms,2nd owner,3500,Hybrid,46.8,RAA Ryutsu
Daihatsu Mira,06-Sep-20,126266 kms,1st owner,4500,Electric,6.8,USS Tokyo
Toyota Vitz,23-Oct-07,281173 kms,3rd owner,4000,Electric,6.8,KCAA Kyushu
Nissan GTR,28-Dec-10,188707 kms,3rd owner,2000,Hybrid,56.8,ONAA Osaka
Mazda RX-7,14-Nov-12,168391 kms,4th owner,2500,CNG,26.8,USS Tokyo
Daihatsu Tanto,12-Mar-15,17204 kms,3rd owner,2000,Electric,16.8,Honda Auto Auction Fukuoka
Mazda Axela,05-Sep-07,76548 kms,3rd owner,1500,Hybrid,46.8,LAA Kansai
Nissan Skyline,22-May-18,228833 kms,1st owner,3000,CNG,26.8,Honda Auto Auction Fukuoka
Daihatsu Tanto,26-May-04,94813 kms,2nd owner,2000,Hybrid,56.8,HERO Saitama
Subaru Outback,23-Nov-21,96955 kms,4th owner,2000,Hybrid,46.8,LAA Kansai
Subaru Impreza,31-Aug-97,102895 kms,2nd owner,1500,Hybrid,56.8,JU Kanagawa
Mitsubishi Mirage,18-Jan-98,267151 kms,2nd owner,2500,Hybrid,76.8,ONAA Osaka
Mitsubishi Pajero,12-Apr-12,168570 kms,1st owner,4000,Electric,6.8,IMA East
Suzuki Jimny,20-Nov-93,158770 kms,3rd owner,2500,Diesel,26.8,RAA Ryutsu
Suzuki Alto,31-Jul-22,185430 kms,4th owner,1500,Electric,16.8,JU Kanagawa
Mitsubishi Pajero,09-Nov-13,219894 kms,4th owner,2500,CNG,26.8,HERO Saitama
Suzuki Alto,04-Nov-21,165675 kms,1st owner,3500,Gasoline,6.8,NTAA Tokyo
Mitsubishi Mirage,06-Sep-00,159612 kms,4th owner,2500,Gasoline,26.8,NAA Osaka
Mazda CX-5,24-Aug-17,31367 kms,1st owner,2500,Electric,26.8,SMAP Tokyo
Toyota Prius,20-Dec-91,137504 kms,2nd owner,660,Electric,16.8,ONAA Osaka
Honda Accord,12-Jan-92,172482 kms,3rd owner,3000,Hybrid,76.8,IMA East
Daihatsu Mira,26-Mar-04,299559 kms,4th owner,4500,Electric,16.8,IMA East
Honda Civic,07-Nov-03,28414 kms,3rd owner,3000,Electric,26.8,HAA Kobe
Nissan Note,12-Feb-18,190731 kms,1st owner,660,Electric,16.8,LAA Kansai
Mitsubishi Lancer,22-Mar-13,14127 kms,1st owner,1500,Diesel,6.8,HERO Saitama
Subaru Legacy,09-Sep-96,178602 kms,2nd owner,4500,Diesel,6.8,HERO Saitama
Subaru BRZ,04-Mar-93,134905 kms,1st owner,1500,CNG,16.8,NAA Osaka
Honda Accord,18-Jun-14,292420 kms,4th owner,1500,Gasoline,16.8,NAA Osaka
Mazda RX-7,23-Oct-94,203389 kms,2nd owner,3500,Gasoline,6.8,GAO! Nagoya
Suzuki Alto,13-Mar-11,275038 kms,2nd owner,2500,Diesel,36.8,HAA Kobe
Toyota Hiace,13-May-99,206158 kms,3rd owner,3000,CNG,36.8,GNN Osaka
Mitsubishi Pajero,12-Aug-94,294192 kms,2nd owner,3500,Diesel,16.8,SMAP Tokyo
Daihatsu Mira,03-Sep-94,176050 kms,4th owner,3500,Hybrid,46.8,IMA East
Honda Odyssey,02-Aug-97,190762 kms,2nd owner,4000,CNG,16.8,Honda Auto Auction Fukuoka
Daihatsu Move,02-Dec-91,252399 kms,2nd owner,2500,CNG,26.8,IMA East
Nissan X-Trail,22-Feb-04,258799 kms,2nd owner,4000,Gasoline,16.8,USS Tokyo
Mitsubishi Lancer,10-Nov-92,269440 kms,2nd owner,3500,Electric,6.8,JU Kanagawa
Toyota Crown,20-May-92,67999 kms,3rd owner,1500,Gasoline,16.8,CAA Chubu
Suzuki Vitara,04-Mar-11,91642 kms,2nd owner,2000,Hybrid,46.8,TAA Nagoya
Lexus IS,21-Jan-97,66864 kms,3rd owner,2500,Hybrid,76.8,IMA East
Daihatsu Tanto,31-Mar-05,62863 kms,1st owner,1500,CNG,6.8,KIX Kansai
Honda Accord,08-Feb-04,106055 kms,4th owner,4500,Electric,16.8,JU Kanagawa
Toyota Prius,08-Feb-18,72886 kms,3rd owner,3500,CNG,16.8,NAA Osaka
Mitsubishi Mirage,24-Dec-90,104765 kms,3rd owner,4000,Diesel,6.8,ONAA Osaka
Toyota Land Cruiser,23-Oct-20,166915 kms,4th owner,1500,CNG,6.8,KCAA Kyushu
Honda Fit,12-Jul-95,274851 kms,1st owner,3000,Gasoline,36.8,KCAA Kyushu
Subaru Impreza,24-Sep-19,38463 kms,4th owner,3000,Gasoline,26.8,NTAA Tokyo
Suzuki Swift,07-Sep-08,76561 kms,2nd owner,3000,Gasoline,36.8,GAO! Nagoya
Mitsubishi Pajero,03-Apr-04,219095 kms,3rd owner,2500,Gasoline,26.8,TAA Nagoya
Toyota Crown,24-Sep-97,70114 kms,4th owner,2500,Electric,36.8,HAA Kobe
Daihatsu Tanto,17-Aug-15,49930 kms,3rd owner,3000,Gasoline,36.8,HERO Saitama
Daihatsu Hijet,25-Apr-90,123827 kms,3rd owner,3500,Electric,6.8,USS Tokyo
Suzuki Vitara,31-Mar-94,227621 kms,1st owner,2500,Diesel,26.8,NTAA Tokyo
Subaru Legacy,08-Jul-21,27266 kms,3rd owner,2500,Diesel,26.8,GNN Osaka
Toyota Vitz,24-Nov-21,182135 kms,1st owner,4000,Hybrid,46.8,RAA Ryutsu
Subaru Legacy,03-Nov-00,279384 kms,2nd owner,660,Hybrid,46.8,RAA Ryutsu
Subaru Outback,18-Jan-06,279556 kms,4th owner,4500,Diesel,6.8,NTAA Tokyo
Nissan X-Trail,28-Nov-01,155273 kms,2nd owner,4000,Hybrid,46.8,GAO! Nagoya
Subaru Legacy,25-May-09,289914 kms,4th owner,2000,Electric,16.8,HERO Saitama
Mitsubishi Pajero,29-Apr-94,114563 kms,4th owner,1500,Diesel,6.8,JU Kanagawa
Daihatsu Move,21-Mar-00,149101 kms,2nd owner,3000,Hybrid,66.8,IMA East
Honda Fit,08-Jan-00,157512 kms,3rd owner,4000,Gasoline,16.8,SMAP Tokyo
Mazda Axela,25-Feb-22,92590 kms,4th owner,3000,Electric,36.8,KIX Kansai
Lexus RX,03-Apr-01,242379 kms,2nd owner,3500,Electric,6.8,KCAA Kyushu
Lexus IS,14-Aug-10,241978 kms,1st owner,1500,Hybrid,56.8,GNN Osaka
Lexus RX,17-Mar-14,155935 kms,1st owner,3500,Gasoline,6.8,HERO Saitama
Nissan GTR,11-Feb-12,219206 kms,3rd owner,3000,Hybrid,76.8,NAA Osaka
Toyota Corolla,27-Jun-10,111208 kms,4th owner,3500,Gasoline,16.8,TAA Nagoya
Subaru BRZ,27-Jun-08,297495 kms,2nd owner,4000,Electric,6.8,KIX Kansai
Toyota Prius,06-Aug-98,158334 kms,3rd owner,3000,Diesel,26.8,CAA Chubu
Mitsubishi Pajero,23-Nov-12,121258 kms,3rd owner,4000,Electric,16.8,NAA Osaka
Toyota Camry,25-Jan-19,173392 kms,1st owner,2000,CNG,6.8,SMAP Tokyo
Subaru Outback,27-Jun-05,105552 kms,1st owner,1500,Diesel,16.8,JU Kanagawa
Lexus ES,14-Aug-17,44751 kms,3rd owner,3500,Hybrid,46.8,SMAP Tokyo
Nissan Note,13-Nov-96,151773 kms,4th owner,1500,Hybrid,56.8,KIX Kansai
Daihatsu Tanto,16-May-15,213442 kms,4th owner,3500,Diesel,16.8,Honda Auto Auction Fukuoka
Mazda Demio,26-Jan-13,190575 kms,2nd owner,2000,Diesel,6.8,USS Tokyo
Mitsubishi Mirage,05-Jun-97,211649 kms,3rd owner,1500,Electric,16.8,GNN Osaka
Mazda Axela,11-Aug-07,249295 kms,3rd owner,1500,Hybrid,46.8,NAA Osaka
Toyota Prius,12-Oct-91,196005 kms,1st owner,660,CNG,6.8,CAA Chubu
Mitsubishi Pajero,26-Aug-05,61161 kms,2nd owner,4500,Electric,6.8,GAO! Nagoya
Daihatsu Mira,29-May-04,14716 kms,1st owner,4000,Electric,16.8,KCAA Kyushu
Daihatsu Move,22-Apr-02,60676 kms,2nd owner,2000,Diesel,16.8,SAA Sapporo
Honda Odyssey,03-Feb-13,27918 kms,4th owner,1500,Hybrid,46.8,NTAA Tokyo
